model,data,epoch,private_score,public_score
all,pa,20,0.16047,0.18376
all,po_pa,20,0.18343,0.20682
bio,po,1,0.06734,0.06973
bio,po,2,0.06389,0.06665
bio,po,3,0.07007,0.07252
bio,po,4,0.07013,0.07235
bio,po,5,0.06854,0.07192
bio,po,6,0.07266,0.0772
bio,po,7,0.07343,0.07631
bio,po,8,0.07044,0.07553
bio,po,9,0.07504,0.07931
bio,po,10,0.07452,0.08007
bio,pa,11,0.14978,0.16749
bio,pa,12,0.15272,0.16936
bio,pa,13,0.15103,0.16926
bio,pa,14,0.14552,0.16417
bio,pa,15,0.14471,0.16349
bio,pa,16,0.14846,0.16645
bio,pa,17,0.14721,0.16593
bio,pa,18,0.14135,0.16063
bio,pa,19,0.14443,0.16502
bio,pa,20,0.14016,0.16004
lan,po,1,0.08402,0.09221
lan,po,2,0.09143,0.10122
lan,po,3,0.09248,0.1025
lan,po,4,0.09813,0.10888
lan,po,5,0.0993,0.11136
lan,po,6,0.095,0.10614
lan,po,7,0.0921,0.10371
lan,po,8,0.09316,0.10276
lan,po,9,0.09526,0.1066
lan,po,10,0.09374,0.10571
lan,pa,11,0.17647,0.19707
lan,pa,12,0.17766,0.19804
lan,pa,13,0.1784,0.20055
lan,pa,14,0.17404,0.19648
lan,pa,15,0.17835,0.19776
lan,pa,16,0.17452,0.19562
lan,pa,17,0.17098,0.19106
lan,pa,18,0.17169,0.19097
lan,pa,19,0.16855,0.18871
lan,pa,20,0.16918,0.18941
sen,po,1,0.06872,0.07612
sen,po,2,0.0754,0.08389
sen,po,3,0.08043,0.09091
sen,po,4,0.07687,0.08797
sen,po,5,0.07384,0.08335
sen,po,6,0.08217,0.094
sen,po,7,0.08068,0.09186
sen,po,8,0.07965,0.09232
sen,po,9,0.08072,0.09234
sen,po,10,0.08211,0.09357
sen,pa,11,0.15102,0.16954
sen,pa,12,0.15398,0.17221
sen,pa,13,0.15399,0.17298
sen,pa,14,0.15509,0.17163
sen,pa,15,0.14966,0.16717
sen,pa,16,0.14955,0.16574
sen,pa,17,0.14569,0.16054
sen,pa,18,0.1483,0.16563
sen,pa,19,0.1443,0.16026
sen,pa,20,0.14687,0.16341
